"FBCP1_4.no","FBCP1_4.si","FBCP1_6.indígena?","FBCP1_6.mestizo/a?","FBCP1_7.casado","FBCP1_7.divorciado","FBCP1_7.separado","FBCP1_7.soltero","FBCP1_7.unión libre","FBCH_17.no","FBCH_17.si","FSCCN_23.hombre","FSCCN_23.mujer","FBCH_1.carretera/ calle pavimentada o adoquinada","FBCH_1.empedrado","FBCH_1.lastrado/ calle de tierra","FBCH_1.sendero","FBCH_2.casa o villa","FBCH_2.departamento","FBCH_2.mediagua","FBCH_2.rancho","FBCH_3.asbesto(eternit)?","FBCH_3.hormigón/losa/cemento?","FBCH_3.teja?","FBCH_3.zinc?","FBCH_4.asbesto/cemento (fibrolit)?","FBCH_4.hormigón/bloque/ladrillo?","FBCH_4.madera?","FBCH_5.cemento/ladrillo?","FBCH_5.cerámica/baldosa/vinyl?","FBCH_5.duela/ parquet/ tabloncillo/ tablón tratado/ piso flotante ?","FBCH_5.tabla/tablón no tratado?","FBCH_6.otra fuente por tubería?","FBCH_6.pozo?","FBCH_6.red pública?","FBCH_6.río/ vertiente/ acequia?","FBCH_7.no recibe agua por tubería, sino por otros medios?","FBCH_7.por tubería dentro de la vivienda?","FBCH_7.por tubería fuera de la vivienda pero dentro del edificio, lote o terreno?","FBCH_8.excusado y alcantarillado?","FBCH_8.excusado y pozo ciego?","FBCH_8.excusado y pozo séptico?","FBCH_8.no tiene?","FBCH_10.la queman?","FBCH_10.servicio municipal ?","FBCH_11","FBCH_12","FBCH_13.la beben tal como llega al hogar?","FBCH_13.la hierven?","FBCH_14.gas?","FBCH_14.leña/carbón?","FBCH_15.no","FBCH_15.si","FBCH_16.no","FBCH_16.si","FBCH_18.cedida?","FBCH_18.en arriendo?","FBCH_18.propia y la está pagando?","FBCH_18.propia y totalmente pagada ?","FBCP1_1","FBCP1_5","FBCP1_8.Educación Básica","FBCP1_8.Educación Media/Bachillerato","FBCP1_8.Superior","FIPA_4.no","FIPA_4.si","FIPA_5.entre una hora y menos de 24 horas?","FIPA_5.inmediatamente después de nacido (después del parto)?","FIPA_5.más de un día?","FIPA_5.menos de una hora?","FIPA_6.no","FIPA_6.si","FIPA_11.no","FIPA_11.si","FIPA_12.no","FIPA_12.si","FIPA_13.no","FIPA_13.si","FIPA_14","FIPA_15.no","FIPA_15.si","FIPA_17.no","FIPA_17.si","FIPA_19.no","FIPA_19.no sabe / no responde","FIPA_19.si","FIPA_20.no","FIPA_20.si","FIPA_21","FIPA_22.no","FIPA_22.si","FIPA_24.no","FIPA_24.no sabe / no responde","FIPA_24.si","FIPA_26.no","FIPA_26.si","FIPA_28.no","FIPA_28.no sabe / no responde","FIPA_28.si","FIPA_32.no","FIPA_32.si","FIPA_33.no","FIPA_33.no sabe / no responde","FIPA_33.si","FIPA_34.no","FIPA_34.si","FIPA_35.no","FIPA_35.si","FIPA_36.no","FIPA_36.no sabe / no responde","FIPA_36.si","FBCP1_3.no quería más hijos?","FBCP1_3.quería esperar mas tiempo ?","FBCP1_3.tener ese hijo?","FSCE_2.clínica/consultorio privado","FSCE_2.establecimientos de salud del msp","FSCE_2.hospital/clínica/dispensario del iess","FSCE_3","FSCE_4","FSCE_5.no","FSCE_5.si","FSCE_6.clínica/consultorio privado","FSCE_6.en casa","FSCE_6.establecimientos de salud del msp","FSCE_6.hospital/clínica/dispensario del iess","FSCE_7.médico","FSCE_7.obstetriz","FSCE_8.césaria","FSCE_8.normal (vaginal)","FSCE_9.a tiempo","FSCE_9.prematuro","FSCE_10.no","FSCE_10.si","FSCE_11","FSCE_12","FSCE_13","FSCE_14.clínica/consultorio privado","FSCE_14.consejo provincial/unidad municipal de salud","FSCE_14.establecimientos de salud del msp","FSCN_2.gramos","FSCN_2.kilos-gramos","FSCN_2.libras-onzas","FSCN_2.no sabe","FSCN_5.igual","FSCN_5.más grande","FSCN_5.pequeño","FSCN_6.no","FSCN_6.si","FSCN_6.si le entregaron pero se perdio","FSCN_7.no","FSCN_7.si","FSCN_9.no","FSCN_9.si","FSCN_11.no","FSCN_11.si","FSCN_13.no","FSCN_13.si","FSCCN_2","FSCCN_3","FSCCN_4","FSCCN_5.¿estaba enfermo?","FSCCN_5.¿para control niño sano?","FSCCN_6.clínica/consultorio privado","FSCCN_6.establecimientos de salud del msp","FSCCN_6.hospital/clínica/dispensario del iess","FSCCN_8","FSCCN_9","FSCCN_10","FSCCN_11","FSCCN_12","FSCCN_13","FSCCN_14","FSCCN_15","FSCCN_16","FSCCN_17","FSCCN_18","FSCCN_19","FSCCN_21.0-11","FSCCN_21.12-18","FSCCN_21.19-23","FSCCN_21.24-30","FSCCN_21.31-35","FSCCN_22","FIPA_1","FIPA_2","FIPA_3","FIEI_1.no","FIEI_1.si","FIEI_4.no","FIEI_4.si","dcronica"
1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,-0.0427402495050958,-0.0585570106977051,1,0,1,0,0,1,1,0,0,0,0,1,0.506714956280667,-0.890081008522681,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,-0.487482420205782,1,0,1,0,0,1,0,1,0,-0.0929411321170794,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,-0.315266277482409,-0.38700504760555,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0.119645706051255,1.61086122201615,-0.646598419249562,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,-0.253069330898656,-0.183682721675744,0.0704263789709185,0,1,0,1,0,1.34325848766937,1.4301877522247,1.27582206713883,0.702033974333071,0.669186855792848,1.27360434803735,0.701187904580768,1.28549368027375,0.704176271099591,0.671190991667998,1.28294180093407,0.705251921663456,1,0,0,0,0,-1.43435289900892,1.08361572267821,1.08134139430664,1.08497665795706,1,0,1,0,"1"
1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0.694611120989116,-0.0585570106977051,0,1,1,0,1,0,0,1,0,1,0,0,1.31883278346414,-0.183679461694548,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,-0.0609795291095595,1,0,1,0,1,0,0,1,0,0.537088272267109,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1.58341295677565,-0.38700504760555,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0.119645706051255,0.300989365677417,-0.646598419249562,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,-0.135515239922439,-0.0650755852043919,-0.167045671757598,0,1,0,1,0,1.34325848766937,1.4301877522247,1.27582206713883,1.21073840528543,1.35701843994268,1.27360434803735,1.21036336879012,1.28549368027375,1.14769290423399,1.35505534577575,1.28294180093407,1.21518267137159,1,0,0,0,0,-1.28039071372188,1.08361572267821,1.08134139430664,1.08497665795706,1,0,1,0,"0"
1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,-0.780091619999308,-0.943689967825466,1,0,1,0,1,0,1,0,0,1,0,0,0.100656042688932,-0.183679461694548,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,-0.169540979565767,1,0,1,0,0,1,0,1,0,0.33849598979188,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,-0.695002124334021,0.677356517547599,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0.119645706051255,1.61086122201615,-0.646598419249562,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,-0.253069330898656,-0.183682721675744,-0.0483096463933397,0,1,0,1,0,1.34325848766937,1.4301877522247,1.27582206713883,0.880573977508705,1.00827273644337,1.27360434803735,0.879893226306985,1.28549368027375,0.884049436457275,1.00832111494482,1.28294180093407,0.884222325954609,1,0,0,0,0,-1.43435289900892,1.08361572267821,1.08134139430664,1.08497665795706,1,0,1,0,"0"
1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0.694611120989116,0.826575946430056,1,0,1,0,1,0,1,0,0,0,1,0,1.18347981226689,0.522722085133584,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,-1.24660036121253,1,0,1,0,0,0,1,0,1,2.31884244090544,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,-0.315266277482409,0.677356517547599,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0.119645706051255,0.300989365677417,-0.646598419249562,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,-0.253069330898656,-0.0650755852043919,-0.167045671757598,0,1,1,0,0,-0.411032541280369,-0.273127282708047,-0.563476058246421,-0.506084729369771,-0.576944619169212,-0.56166272876628,-0.508049452810189,-0.567348870571014,-0.512963481883844,-0.567753127642225,-0.566348473705573,-0.505779158137201,0,1,0,0,0,-0.587560879930155,-0.915915826367073,-0.898020091808314,-0.934297789864787,1,0,0,1,"0"
0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,-0.0427402495050958,-0.0585570106977051,1,0,1,0,1,0,1,0,0,1,0,0,-0.71146178449454,0.522722085133584,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0.335039435426792,1,0,1,0,0,1,0,1,0,-0.2024686176169,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,-0.695002124334021,0.677356517547599,0,1,0,0,1,0,1,0,0,1,1,0,0,1,-0.519047072792045,-1.00888249066132,0.384352400674838,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.253069330898656,-0.183682721675744,0.0704263789709185,0,1,0,1,0,-2.43941306987987,-2.4884145463558,-2.41877131923029,-2.49787411358982,-2.55066788420839,-2.41289188147381,-2.50168312810344,-2.43630635847773,-2.51962560181814,-2.71044721615091,-2.43172278979359,-2.59574235221861,0,0,0,0,0,2.79960719638493,-0.915915826367073,-0.803764782945697,-0.903702722473547,1,0,1,0,"0"
0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,-0.0427402495050958,-0.0585570106977051,1,0,1,0,1,0,1,0,1,0,0,0,0.642067927477912,-0.183679461694548,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0.0967377903396252,1,0,1,0,0,0,1,0,1,0.692350715432528,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,-0.884870047759827,-0.032217859221167,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0.119645706051255,1.61086122201615,-0.646598419249562,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,-0.253069330898656,-0.0650755852043919,-0.167045671757598,0,1,0,1,0,1.34325848766937,1.4301877522247,1.27582206713883,1.21073840528543,1.10463664057417,1.27360434803735,1.21036336879012,1.28549368027375,1.21667920937313,1.10412921764945,1.28294180093407,1.21518267137159,1,0,0,0,0,-0.972466343147777,1.08361572267821,1.08134139430664,1.08497665795706,1,0,0,1,"0"
1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,-0.0427402495050958,-0.0585570106977051,0,1,1,0,1,0,0,1,0,1,0,0,0.912773869872403,-0.183679461694548,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0.389085495261015,1,0,1,0,0,1,0,1,0,1.02589865320573,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,-0.125398354056604,-2.16094098952746,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1.39703126373786,0.300989365677417,-0.646598419249562,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,-0.135515239922439,-0.0650755852043919,-0.167045671757598,0,1,0,1,0,1.34325848766937,1.4301877522247,0.611949649882315,0.677966029805141,1.04242303853232,1.27360434803735,0.677097674415815,0.616732566429087,0.679928610693574,1.04227444715407,0.615462838230926,0.68112595725209,1,0,0,0,0,-1.3573718063654,1.08361572267821,1.08134139430664,1.08497665795706,1,0,1,0,"0"
1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0.694611120989116,-0.0585570106977051,0,1,1,0,1,0,0,1,0,0,0,1,0.236009013886177,-0.890081008522681,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,-0.161113981711698,1,0,0,1,1,0,0,0,1,-0.934141010040384,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,-0.695002124334021,0.322569329163216,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0.119645706051255,0.300989365677417,-0.646598419249562,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,-0.135515239922439,-0.0650755852043919,-0.167045671757598,0,1,0,1,0,0.249405783409102,0.274809270739391,1.27582206713883,1.21073840528543,1.10463664057417,1.27360434803735,1.21036336879012,1.28549368027375,1.21667920937313,1.10412921764945,1.28294180093407,1.21518267137159,1,0,0,0,0,-0.741523065217204,1.08361572267821,1.08134139430664,1.08497665795706,1,0,1,0,"0"
0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2.16931386197754,2.59684186068558,0,0,1,0,1,0,1,0,0,0,0,1,1.86024466825312,-0.890081008522681,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,-1.24660036121253,1,0,1,0,1,0,0,0,1,0.692350715432528,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0.0644695693692023,0.677356517547599,1,0,1,0,0,0,0,1,1,0,1,0,1,0,-0.261502696609709,0.359846334112404,-0.130540124434095,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,-0.0613859525600377,-0.096853450224416,-0.130820679443861,1,0,0,0,0,0.249405783409102,0.218402710146697,0.128964906501123,0.0105247989452684,-0.154137481759158,0.129260666246221,0.00903842846171939,0.130191166971035,0.00750358129053493,-0.147384629597085,0.129854237642003,0.0120757455184877,0,0,1,0,0,0.182250046505091,1.08361572267821,1.08134139430664,1.08497665795706,1,0,1,0,"0"
1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0.694611120989116,0.826575946430056,1,0,1,0,1,0,1,0,0,1,0,0,-0.170049899705559,-0.183679461694548,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0.0967377903396252,1,0,0,1,0,0,1,0,1,-0.934141010040384,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,-0.695002124334021,0.677356517547599,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0.206206171813559,-0.291368948477074,0.428118707324775,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0.452255214958644,-0.183682721675744,-0.167045671757598,0,1,0,1,0,-0.84444692085117,-0.686593521574508,-1.01789225413659,0.0105247989452684,-0.154137481759158,-1.0150830155449,0.00903842846171939,-1.02511134633168,0.00750358129053493,-0.147384629597085,-1.02323332565007,0.0120757455184877,0,0,0,0,1,0.952060972940336,-0.915915826367073,-0.740927910370619,-0.934297789864787,1,0,0,1,"0"
